% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:14:26
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
165700.1062023029; -1.12903012619e-06
165751.9933587177; -1.20849589707e-06
165803.8967630222; -1.18720190187e-06
165855.816420304; -1.19386968885e-06
165907.7523356524; -1.21347933687e-06
165959.7045141586; -1.08699535335e-06
166011.6729609152; -1.21652868532e-06
166063.6576810163; -1.24805452137e-06
166115.6586795579; -1.21474345199e-06
166167.6759616369; -1.33407397777e-06
166219.7095323531; -1.12636178907e-06
166271.7593968067; -1.26500382168e-06
166323.8255600999; -1.37892630003e-06
166375.9080273366; -1.3247074904e-06
166428.0068036221; -1.41919869172e-06
166480.1218940635; -1.35065812155e-06
166532.2533037689; -1.33821964613e-06
166584.4010378493; -1.41523180178e-06
166636.5651014162; -1.4870247682e-06
166688.7454995828; -1.39259870444e-06
166740.9422374643; -1.42386397252e-06
166793.1553201772; -1.59336205981e-06
166845.3847528397; -1.44254964857e-06
166897.6305405717; -1.440076795e-06
166949.8926884942; -1.4365694464e-06
167002.1712017308; -1.51812447314e-06
167054.466085406; -1.43328911381e-06
167106.7773446458; -1.4725424224e-06
167159.1049845781; -1.40591075304e-06
167211.4490103324; -1.67909101012e-06
167263.8094270397; -1.56053419883e-06
167316.1862398327; -1.55140324832e-06
167368.5794538452; -1.60886302811e-06
167420.9890742138; -1.52379392113e-06
167473.4151060755; -1.49855172519e-06
167525.8575545696; -1.80899724002e-06
167578.3164248367; -1.76009191586e-06
167630.7917220191; -1.72005950746e-06
167683.2834512606; -1.8955551752e-06
167735.7916177069; -1.62513760461e-06
167788.3162265047; -1.82412279488e-06
167840.8572828033; -1.67825400042e-06
167893.414791753; -1.70674866347e-06
167945.9887585055; -2.03169338865e-06
167998.5791882144; -1.81287419158e-06
168051.1860860351; -1.79542127534e-06
168103.8094571242; -1.86781876156e-06
168156.4493066399; -1.83618415624e-06
168209.1056397428; -1.89945559896e-06
168261.7784615944; -1.94214964825e-06
168314.4677773578; -1.85385677224e-06
168367.1735921979; -1.87480918939e-06
168419.8959112813; -2.14474576594e-06
168472.634739776; -1.96974469726e-06
168525.3900828519; -1.99809400983e-06
168578.1619456798; -1.94377470376e-06
168630.9503334336; -2.0720474813e-06
168683.7552512874; -1.99095789495e-06
168736.5767044175; -2.02181841377e-06
168789.4146980016; -2.08951986617e-06
168842.2692372194; -2.0640076071e-06
168895.1403272517; -2.17191241634e-06
168948.0279732814; -1.99841314314e-06
169000.9321804924; -2.14427470993e-06
169053.8529540715; -2.15833790428e-06
169106.7902992056; -2.17110690367e-06
169159.7442210842; -2.06013921182e-06
169212.714724898; -2.11948482766e-06
169265.7018158395; -2.26102219568e-06
169318.7054991028; -2.3444063709e-06
169371.7257798831; -2.39241367537e-06
169424.7626633786; -2.22063676544e-06
169477.8161547878; -2.30839357189e-06
169530.8862593113; -2.25563094195e-06
169583.9729821513; -2.40681929808e-06
169637.0763285118; -2.29840692249e-06
169690.196303598; -2.34989904224e-06
169743.3329126172; -2.36332356253e-06
169796.4861607778; -2.23611629875e-06
169849.6560532908; -2.42681348269e-06
169902.8425953678; -2.44830928564e-06
169956.0457922224; -2.32565291778e-06
170009.26564907; -2.57744560975e-06
170062.5021711274; -2.47110594434e-06
170115.7553636131; -2.47267617234e-06
170169.0252317473; -2.50549877201e-06
170222.3117807515; -2.48474366304e-06
170275.6150158498; -2.6241532985e-06
170328.9349422668; -2.580986032e-06
170382.2715652294; -2.62240268002e-06
170435.6248899658; -2.59710066097e-06
170488.994921706; -2.91466581587e-06
170542.3816656816; -2.81558130924e-06
170595.7851271259; -2.71310238629e-06
170649.2053112735; -2.70864676092e-06
170702.6422233614; -2.75439464052e-06
170756.0958686277; -2.76935022124e-06
170809.566252312; -2.97034764314e-06
170863.0533796558; -2.99229850556e-06
170916.5572559023; -2.97941278292e-06
170970.0778862961; -3.06062401725e-06
171023.6152760833; -2.94682359433e-06
171077.1694305126; -2.95185872611e-06
171130.7403548333; -2.89873657297e-06
171184.3280542967; -3.1643297301e-06
171237.9325341558; -3.20316711135e-06
171291.5537996651; -3.22837315126e-06
171345.1918560809; -3.20613628232e-06
171398.8467086611; -3.19867975866e-06
171452.518362665; -3.1833751065e-06
171506.2068233542; -3.12558815085e-06
171559.9120959914; -3.43017799903e-06
171613.634185841; -3.36316464517e-06
171667.3730981691; -3.35173343703e-06
171721.1288382435; -3.45932625206e-06
171774.9014113337; -3.43013261354e-06
171828.6908227106; -3.50153420542e-06
171882.4970776468; -3.51840483401e-06
171936.3201814171; -3.39089514204e-06
171990.1601392974; -3.32605005235e-06
172044.0169565653; -3.58970906499e-06
172097.8906385001; -3.61583393956e-06
172151.7811903828; -3.63818000293e-06
172205.6886174961; -3.65010848507e-06
172259.6129251243; -3.93473341359e-06
172313.5541185528; -3.67315361248e-06
172367.5122030701; -4.03128582813e-06
172421.4871839651; -3.76275203868e-06
172475.4790665286; -3.67520602142e-06
172529.4878560533; -3.98293478441e-06
172583.5135578334; -4.04194438468e-06
172637.5561771646; -3.94067898319e-06
172691.6157193444; -4.02750939072e-06
172745.6921896724; -4.06099069997e-06
172799.7855934493; -4.162625917e-06
172853.8959359777; -4.28551589079e-06
172908.0232225615; -4.29039327169e-06
172962.1674585068; -4.39093379858e-06
173016.328649121; -4.28152917792e-06
173070.5067997133; -4.2786166591e-06
173124.7019155941; -4.28400622992e-06
173178.9140020767; -4.47383621803e-06
173233.1430644749; -4.56793485791e-06
173287.3891081044; -4.63113113646e-06
173341.6521382828; -4.45402166215e-06
173395.9321603292; -4.42118699866e-06
173450.2291795644; -4.49996626534e-06
173504.543201311; -4.50437592063e-06
173558.8742308926; -4.50112288665e-06
173613.2222736359; -4.8098755689e-06
173667.5873348679; -4.88182453242e-06
173721.9694199178; -4.7837679486e-06
173776.3685341165; -4.81990809979e-06
173830.7846827964; -4.95130370705e-06
173885.2178712917; -5.16979742889e-06
173939.6681049382; -4.96056440123e-06
173994.135389073; -5.0488819009e-06
174048.6197290361; -4.927706921e-06
174103.1211301679; -5.21663188522e-06
174157.639597811; -5.35723240255e-06
174212.1751373094; -5.58183968406e-06
174266.7277540092; -5.35940993159e-06
174321.2974532578; -5.4299935041e-06
174375.8842404041; -5.58085146027e-06
174430.4881207997; -5.70836249857e-06
174485.1090997967; -5.9110576955e-06
174539.7471827495; -5.70148840426e-06
174594.402375014; -5.74656646707e-06
174649.0746819476; -6.28873973608e-06
174703.7641089098; -5.94218980094e-06
174758.4706612614; -6.14745404316e-06
174813.1943443648; -6.21405320574e-06
174867.9351635849; -6.26382425541e-06
174922.6931242874; -6.15768839953e-06
174977.4682318399; -6.28528592181e-06
175032.2604916117; -6.5434126881e-06
175087.069908974; -6.54064429742e-06
175141.8964892994; -6.42514742807e-06
175196.7402379624; -6.69127433412e-06
175251.6011603385; -6.42278369808e-06
175306.4792618064; -6.62061772321e-06
175361.374547745; -6.39654027562e-06
175416.2870235356; -6.83937642402e-06
175471.2166945609; -6.82254760251e-06
175526.1635662054; -6.96855186255e-06
175581.1276438553; -7.054167296e-06
175636.1089328985; -7.34756972802e-06
175691.1074387242; -7.24862215731e-06
175746.1231667243; -7.37714216352e-06
175801.1561222914; -7.38005730414e-06
175856.2063108202; -7.54827164824e-06
175911.2737377069; -7.57053120992e-06
175966.3584083496; -7.56248696015e-06
176021.4603281479; -7.65787885611e-06
176076.5795025029; -7.7781780839e-06
176131.7159368183; -8.13232381698e-06
176186.8696364986; -8.03625578002e-06
176242.0406069502; -8.37474336079e-06
176297.2288535813; -8.16332761364e-06
176352.4343818017; -8.6009665038e-06
176407.657197023; -8.72031237066e-06
176462.8973046583; -8.55779418856e-06
176518.1547101223; -8.73411255239e-06
176573.4294188323; -8.84664900192e-06
176628.7214362063; -8.83057883726e-06
176684.0307676643; -9.06489055264e-06
176739.3574186279; -9.08883703014e-06
176794.7013945206; -9.31375455211e-06
176850.0627007676; -9.08345350009e-06
176905.4413427956; -9.54134544221e-06
176960.8373260327; -9.5570176424e-06
177016.25065591; -9.67410635189e-06
177071.6813378589; -9.83083676841e-06
177127.129377313; -9.90998191793e-06
177182.5947797078; -1.00220697916e-05
177238.0775504801; -1.01441772644e-05
177293.5776950687; -1.02416589299e-05
177349.095218914; -1.03301946767e-05
177404.6301274578; -1.05383009858e-05
177460.1824261446; -1.07339941871e-05
177515.7521204196; -1.08969032122e-05
177571.3392157301; -1.11037381076e-05
177626.9437175249; -1.09784339519e-05
177682.5656312547; -1.1170470362e-05
177738.2049623719; -1.12494764675e-05
177793.8617163302; -1.14858586256e-05
177849.5358985861; -1.16069125244e-05
177905.2275145966; -1.16898809317e-05
177960.936569821; -1.20740716975e-05
178016.6630697202; -1.19990728363e-05
178072.4070197568; -1.18727948058e-05
178128.168425395; -1.2102110929e-05
178183.947292101; -1.22409756198e-05
178239.7436253421; -1.23147855477e-05
178295.5574305884; -1.25738946387e-05
178351.3887133109; -1.26906881831e-05
178407.2374789823; -1.29631453725e-05
178463.1037330772; -1.31541618846e-05
178518.9874810721; -1.33703994234e-05
178574.8887284448; -1.3403446435e-05
178630.8074806751; -1.37660258261e-05
178686.7437432441; -1.35775377391e-05
