% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/12/04 16:32:43
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (V)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (V)
159504.5427178898; -5.7703876531e-06
159554.3956259982; -5.83266768072e-06
159604.2641155591; -5.96545458848e-06
159654.1481914423; -6.04602784463e-06
159704.0478585191; -6.19902712348e-06
159753.9631216631; -6.20071904323e-06
159803.8939857485; -6.38217887536e-06
159853.8404556514; -6.60772968711e-06
159903.8025362493; -6.62984580577e-06
159953.7802324214; -6.62125129534e-06
160003.7735490483; -6.65399353259e-06
160053.782491012; -6.97722476942e-06
160103.8070631964; -7.09778013277e-06
160153.8472704865; -7.10243076735e-06
160203.9031177692; -6.97133995125e-06
160253.9746099327; -7.29482685047e-06
160304.0617518667; -7.45376271457e-06
160354.1645484626; -7.2627882577e-06
160404.2830046132; -7.3811715778e-06
160454.4171252129; -7.61217791113e-06
160504.5669151576; -7.77552755044e-06
160554.7323793444; -7.77638749506e-06
160604.9135226729; -8.04793632451e-06
160655.1103500433; -8.16665004903e-06
160705.3228663576; -8.2377474617e-06
160755.5510765193; -8.24495131211e-06
160805.7949854336; -8.44500234197e-06
160856.054598007; -8.40870598034e-06
160906.3299191478; -8.17814157687e-06
160956.6209537656; -8.38548718174e-06
161006.9277067715; -8.5152434531e-06
161057.2501830785; -8.39201265424e-06
161107.5883876008; -8.87320834386e-06
161157.9423252542; -9.01000758224e-06
161208.3120009561; -8.91807201029e-06
161258.6974196254; -9.09201979868e-06
161309.0985861825; -9.12223608448e-06
161359.5155055494; -9.2298043156e-06
161409.9481826493; -9.30136428269e-06
161460.3966224079; -9.4165908686e-06
161510.8608297515; -9.56016706995e-06
161561.3408096082; -9.5206625596e-06
161611.8365669077; -9.63302902904e-06
161662.3481065812; -9.8093817244e-06
161712.8754335615; -1.00211360512e-05
161763.4185527828; -1.00918577559e-05
161813.977469181; -1.01679125862e-05
161864.5521876935; -1.01259697348e-05
161915.1427132592; -1.023315932e-05
161965.7490508186; -1.05788191582e-05
162016.3712053137; -1.07751256243e-05
162067.0091816881; -1.09323911922e-05
162117.6629848868; -1.10818126078e-05
162168.3326198565; -1.11109801548e-05
162219.0180915455; -1.10769463848e-05
162269.7194049031; -1.09838383854e-05
162320.4365648813; -1.09427439618e-05
162371.1695764325; -1.15068032923e-05
162421.9184445112; -1.17754817224e-05
162472.6831740733; -1.16276449317e-05
162523.4637700763; -1.17979494576e-05
162574.2602374792; -1.19673074862e-05
162625.0725812427; -1.22186641579e-05
162675.9008063287; -1.256284884e-05
162726.7449177011; -1.24187151877e-05
162777.604920325; -1.25919524568e-05
162828.4808191672; -1.28116602283e-05
162879.3726191962; -1.30537974827e-05
162930.2803253817; -1.3115845293e-05
162981.2039426952; -1.30820376293e-05
163032.1434761097; -1.32159421419e-05
163083.0989305999; -1.34189827941e-05
163134.0703111416; -1.34689132883e-05
163185.0576227125; -1.42153385218e-05
163236.0608702922; -1.43406020452e-05
163287.0800588612; -1.41439498385e-05
163338.1151934019; -1.40356133863e-05
163389.1662788981; -1.46660682567e-05
163440.2333203354; -1.48769440121e-05
163491.3163227007; -1.49085142332e-05
163542.4152909826; -1.49303024154e-05
163593.5302301711; -1.49036577643e-05
163644.6611452581; -1.52774844761e-05
163695.8080412367; -1.52725376351e-05
163746.9709231017; -1.52982360239e-05
163798.1497958495; -1.52158678427e-05
163849.344664478; -1.57629709574e-05
163900.5555339867; -1.59819225535e-05
163951.7824093768; -1.6072645154e-05
164003.0252956506; -1.6482162535e-05
164054.2841978122; -1.67990080881e-05
164105.559120868; -1.66275955351e-05
164156.8500698248; -1.64495935206e-05
164208.1570496916; -1.70066862715e-05
164259.4800654789; -1.6609460017e-05
164310.8191221985; -1.72329855612e-05
164362.1742248642; -1.703590159e-05
164413.5453784909; -1.73710216861e-05
164464.9325880955; -1.75474498873e-05
164516.3358586962; -1.7275814799e-05
164567.7551953128; -1.7877778855e-05
164619.1906029668; -1.81216348234e-05
164670.6420866811; -1.81311341707e-05
164722.1096514802; -1.84255678688e-05
164773.5933023904; -1.88132616356e-05
164825.0930444393; -1.85335143932e-05
164876.6088826561; -1.87896804675e-05
164928.1408220713; -1.85604298667e-05
164979.6888677181; -1.82131461521e-05
165031.25302463; -1.86740061345e-05
165082.8332978427; -1.86280180472e-05
165134.4296923932; -1.95152720074e-05
165186.0422133203; -1.89830333896e-05
165237.6708656641; -1.87969339696e-05
165289.3156544667; -1.95035378618e-05
165340.9765847713; -1.90704309688e-05
165392.653661623; -1.98098798097e-05
165444.3468900684; -2.01868593189e-05
165496.0562751556; -1.99437530036e-05
165547.7818219344; -1.97905860252e-05
165599.5235354561; -2.01128372131e-05
165651.2814207736; -2.02442366926e-05
165703.0554829413; -2.02824251087e-05
165754.8457270153; -2.0134510638e-05
165806.6521580528; -2.01196341543e-05
165858.4747811139; -2.01055781876e-05
165910.3136012589; -2.04662072908e-05
165962.1686235502; -2.08990540556e-05
166014.0398530517; -2.12197408318e-05
166065.927294829; -2.11776074234e-05
166117.8309539493; -2.09555865272e-05
166169.7508354812; -2.13303684915e-05
166221.686944495; -2.17404866291e-05
166273.6392860626; -2.17846109253e-05
166325.6078652575; -2.20760196866e-05
166377.5926871546; -2.22673575707e-05
166429.5937568307; -2.21446047801e-05
166481.611079364; -2.22023242513e-05
166533.6446598342; -2.22187683198e-05
166585.6945033227; -2.27567469725e-05
166637.7606149126; -2.2684300149e-05
166689.8429996881; -2.28114255245e-05
166741.941662736; -2.30323440934e-05
166794.0566091437; -2.3262502469e-05
166846.1878440005; -2.34253926094e-05
166898.3353723975; -2.35023676128e-05
166950.499199427; -2.3631205944e-05
167002.6793301833; -2.42132100007e-05
167054.875769762; -2.43838900583e-05
167107.0885232604; -2.39793248654e-05
167159.3175957774; -2.44817556345e-05
167211.5629924136; -2.46029508883e-05
167263.8247182709; -2.46751825935e-05
167316.1027784531; -2.49205318747e-05
167368.3971780654; -2.4929874628e-05
167420.7079222147; -2.51091174659e-05
167473.0350160094; -2.52516335292e-05
167525.3784645597; -2.50970564414e-05
167577.7382729771; -2.57519473126e-05
167630.1144463746; -2.59471582674e-05
167682.5069898677; -2.63427274465e-05
167734.9159085725; -2.63347660104e-05
167787.3412076071; -2.67185038557e-05
167839.782892091; -2.68643459392e-05
167892.2409671457; -2.69399926264e-05
167944.7154378938; -2.70959234144e-05
167997.2063094599; -2.71617750767e-05
168049.71358697; -2.7190151604e-05
168102.2372755518; -2.7501642643e-05
168154.7773803345; -2.76921858055e-05
168207.3339064489; -2.78296420333e-05
168259.9068590276; -2.80940105749e-05
168312.4962432046; -2.81680679363e-05
168365.1020641156; -2.83586208529e-05
168417.7243268978; -2.82692224554e-05
168470.3630366902; -2.8607534894e-05
168523.0181986329; -2.85292967973e-05
168575.6898178686; -2.87639582625e-05
168628.3778995408; -2.89386639304e-05
168681.0824487946; -2.89338926039e-05
168733.8034707771; -2.90723448632e-05
168786.5409706369; -2.90327456326e-05
168839.2949535239; -2.90992184412e-05
168892.06542459; -2.94473799045e-05
168944.8523889885; -2.93528083246e-05
168997.6558518743; -2.97464424374e-05
169050.4758184042; -2.98238113054e-05
169103.3122937361; -2.99867798896e-05
169156.1652830301; -3.02526506754e-05
169209.0347914474; -3.03007304231e-05
169261.9208241511; -3.0197780979e-05
169314.8233863058; -3.00324490894e-05
169367.7424830778; -3.00479689892e-05
169420.6781196347; -3.00435169616e-05
169473.6303011465; -3.031342793e-05
169526.5990327841; -3.03806463373e-05
169579.5843197201; -3.02821287075e-05
169632.5861671289; -3.03736867499e-05
169685.6045801865; -3.04116431249e-05
169738.6395640704; -3.04981171818e-05
169791.6911239598; -3.05785362531e-05
169844.7592650355; -3.0491958192e-05
169897.84399248; -3.08195555501e-05
169950.9453114772; -3.05632872932e-05
170004.0632272129; -3.06670566668e-05
170057.1977448743; -3.06717613013e-05
170110.3488696503; -3.06165770655e-05
170163.5166067316; -3.07328341747e-05
170216.7009613101; -3.06833015407e-05
170269.9019385797; -3.08730018576e-05
170323.1195437355; -3.07910833037e-05
170376.3537819751; -3.08229593091e-05
170429.6046584969; -3.07292810492e-05
170482.8721785011; -3.04430241994e-05
170536.1563471897; -3.05538280199e-05
