% Module: Sweep, ID: c0p1t8p1cfm0
% Devices: DEV30370
% Time: 2025/11/21 14:18:39
% Demod 1 Sample X, /dev30370/demods/0/sample.X
% Frequency (Hz); Demod 1 Sample X  Amplitude (A)
% Demod 1 Sample Y, /dev30370/demods/0/sample.Y
% Frequency (Hz); Demod 1 Sample Y  Amplitude (A)
144610.5606531722; 1.79362390577e-08
144672.9322170888; 1.7961853929e-08
144735.3306823045; 1.80250084441e-08
144797.7560604223; 1.80730484138e-08
144860.2083630503; 1.81539591656e-08
144922.6876018005; 1.81572364157e-08
144985.193788291; 1.81259181468e-08
145047.7269341449; 1.82479265254e-08
145110.2870509892; 1.83862392888e-08
145172.8741504572; 1.82524520058e-08
145235.4882441869; 1.83090116124e-08
145298.1293438204; 1.82461363868e-08
145360.7974610061; 1.82582228858e-08
145423.4926073969; 1.83560484691e-08
145486.2147946503; 1.86096617321e-08
145548.9640344293; 1.85733844648e-08
145611.7403384024; 1.86084341652e-08
145674.5437182417; 1.87141665768e-08
145737.3741856258; 1.86603960979e-08
145800.2317522375; 1.86938256278e-08
145863.1164297654; 1.87700750348e-08
145926.0282299018; 1.87754304108e-08
145988.9671643454; 1.87560037043e-08
146051.9332447996; 1.87690320135e-08
146114.9264829721; 1.88056603078e-08
146177.9468905765; 1.87650990783e-08
146240.9944793315; 1.89359233052e-08
146304.0692609599; 1.88365095306e-08
146367.1712471904; 1.89856105133e-08
146430.3004497571; 1.89686931013e-08
146493.4568803977; 1.89931508249e-08
146556.6405508562; 1.91390692264e-08
146619.8514728818; 1.91744838129e-08
146683.0896582276; 1.92489604641e-08
146746.3551186528; 1.91247567277e-08
146809.6478659216; 1.92106252094e-08
146872.9679118023; 1.92533636639e-08
146936.3152680695; 1.92573315087e-08
146999.6899465026; 1.92301386246e-08
147063.0919588851; 1.9382872752e-08
147126.5213170068; 1.93630068414e-08
147189.9780326624; 1.93506415403e-08
147253.4621176507; 1.94532246307e-08
147316.9735837766; 1.94583360643e-08
147380.5124428501; 1.95551068293e-08
147444.0787066854; 1.95796343222e-08
147507.6723871027; 1.95884458454e-08
147571.2934959269; 1.96117833804e-08
147634.9420449884; 1.9641446188e-08
147698.6180461217; 1.97220120987e-08
147762.3215111675; 1.97160693448e-08
147826.0524519714; 1.97109103112e-08
147889.8108803833; 1.97394492999e-08
147953.5968082591; 1.98939991218e-08
148017.4102474598; 1.97481356559e-08
148081.2512098506; 1.97507637881e-08
148145.1197073029; 1.97578266431e-08
148209.0157516929; 1.98345654097e-08
148272.9393549013; 1.98666811454e-08
148336.8905288147; 1.98777111391e-08
148400.8692853247; 2.0012279868e-08
148464.8756363275; 2.00776747541e-08
148528.9095937249; 2.00921225113e-08
148592.9711694241; 2.00751667717e-08
148657.0603753366; 2.01431621723e-08
148721.1772233796; 2.00570157944e-08
148785.3217254757; 2.00857487137e-08
148849.4938935518; 2.01245882617e-08
148913.6937395407; 2.01593369159e-08
148977.9212753803; 2.01786515767e-08
149042.1765130129; 2.00781267485e-08
149106.4594643868; 2.01360584842e-08
149170.7701414553; 2.02208331704e-08
149235.1085561762; 2.02342192861e-08
149299.4747205132; 2.0218971338e-08
149363.868646435; 2.02875247803e-08
149428.2903459156; 2.02718701884e-08
149492.7398309333; 2.03014925879e-08
149557.2171134726; 2.02784877097e-08
149621.7222055229; 2.03299563587e-08
149686.2551190782; 2.034154585e-08
149750.8158661384; 2.02821589945e-08
149815.4044587085; 2.02967610051e-08
149880.0209087979; 2.01788521118e-08
149944.6652284221; 2.00829641411e-08
150009.3374296017; 2.01127762161e-08
150074.0375243616; 2.01664025826e-08
150138.7655247327; 2.01575517447e-08
150203.5214427514; 2.02631591139e-08
150268.3052904581; 2.02264160058e-08
150333.1170798992; 2.02225202672e-08
150397.9568231267; 2.02720450552e-08
150462.8245321966; 2.02460030642e-08
150527.720219171; 2.03043587017e-08
150592.6438961174; 2.0294714171e-08
150657.5955751073; 2.02474328095e-08
150722.5752682186; 2.0309144514e-08
150787.5829875342; 2.02506872843e-08
150852.6187451415; 2.01341740327e-08
150917.682553134; 2.01602290141e-08
150982.7744236097; 2.02364987907e-08
151047.8943686728; 2.02815015974e-08
151113.0424004313; 2.03675088679e-08
151178.2185309995; 2.0362029568e-08
151243.4227724969; 2.04665525017e-08
151308.6551370474; 2.04664206612e-08
151373.915636781; 2.06046073512e-08
151439.2042838328; 2.05548284608e-08
151504.5210903424; 2.05809751307e-08
151569.8660684555; 2.05818979334e-08
151635.239230323; 2.07870986117e-08
151700.6405881001; 2.08341916349e-08
151766.0701539482; 2.09227706711e-08
151831.527940034; 2.08681630795e-08
151897.0139585285; 2.08874277659e-08
151962.5282216087; 2.09522114805e-08
152028.0707414572; 2.10280201838e-08
152093.6415302606; 2.1034055551e-08
152159.2406002118; 2.10323508962e-08
152224.867963509; 2.12206430039e-08
152290.5236323548; 2.12238735662e-08
152356.2076189577; 2.12781557053e-08
152421.9199355319; 2.13679212252e-08
152487.6605942954; 2.13941341028e-08
152553.429607473; 2.14733213174e-08
152619.2269872943; 2.16550990017e-08
152685.0527459934; 2.16552238628e-08
152750.9068958107; 2.17153389969e-08
152816.7894489917; 2.17883286491e-08
152882.7004177865; 2.19051422848e-08
152948.6398144512; 2.19875066256e-08
153014.6076512469; 2.20415678474e-08
153080.6039404404; 2.21000281012e-08
153146.6286943028; 2.22327901458e-08
153212.6819251113; 2.2336056664e-08
153278.7636451487; 2.23089443714e-08
153344.8738667019; 2.23645731961e-08
153411.0126020641; 2.22615900351e-08
153477.1798635338; 2.24025895966e-08
153543.375663414; 2.24015744993e-08
153609.6000140138; 2.24979565409e-08
153675.8529276475; 2.24664117436e-08
153742.1344166341; 2.26031758115e-08
153808.4444932986; 2.25088378422e-08
153874.7831699713; 2.25498703048e-08
153941.150458987; 2.25592688935e-08
154007.5463726868; 2.26081638647e-08
154073.970923417; 2.2613237908e-08
154140.4241235284; 2.25241941495e-08
154206.9059853778; 2.25335166455e-08
154273.4165213277; 2.26428968042e-08
154339.9557437447; 2.25949695989e-08
154406.5236650018; 2.26158369666e-08
154473.1202974775; 2.26744659452e-08
154539.7456535544; 2.25967883488e-08
154606.3997456214; 2.26030385473e-08
154673.0825860727; 2.25234349229e-08
154739.794187308; 2.24602393934e-08
154806.5345617313; 2.24205815405e-08
154873.303721753; 2.24439865953e-08
154940.1016797889; 2.24415942765e-08
155006.9284482592; 2.23317546815e-08
